entity,P648
Q6519,OL659799A
Q6694,OL6787852A
Q6701,OL7188205A
Q6714,OL809826A
Q6882,OL31827A
Q6950,OL24837A
Q7071,OL2596678A
Q7068,OL340553A
Q7104,OL48714A
Q7170,OL6824884A
Q7199,OL120205A
Q7197,OL63285A
Q7245,OL18319A
Q7259,OL776398A
Q7273,OL998882A
Q7317,OL132422A
Q7331,OL10924A
Q7345,OL39307A
Q7351,OL126336A
Q7371,OL138812A
Q7489,OL5601569A
Q7604,OL30028A
Q7721,OL164776A
Q7729,OL1254624A
Q7934,OL79034A
Q7999,OL671016A
Q8006,OL1190599A
Q8011,OL16461A
Q8018,OL22060A
Q8027,OL233499A
Q8237,OL231181A
Q8312,OL710854A
Q8442,OL113602A
Q8620,OL267708A
Q8704,OL714158A
Q8747,OL80252A
Q8750,OL241947A
Q8768,OL874199A
Q8797,OL1330578A
Q8809,OL1563640A
Q8827,OL133556A
Q8873,OL102385A
Q8948,OL970699A
Q8963,OL450897A
Q8998,OL1426172A
Q9047,OL116444A
Q9049,OL31676A
Q9061,OL48230A
Q9082,OL1831091A
Q9191,OL116826A
Q9200,OL9279658A
Q9204,OL31574A
Q9235,OL53216A
Q9294,OL173442A
Q9312,OL18074A
Q9333,OL4490678A
Q9353,OL77200A
Q9358,OL20157A
Q9372,OL581007A
Q9381,OL39302A
Q9397,OL706106A
Q7286,OL4490067A
Q7315,OL260354A
Q9038,OL146571A
Q9554,OL66601A
Q11075,OL1305741A
Q11758,OL335606A
Q11826,OL7036848A
Q11847,OL2340013A
Q12622,OL2883793A
Q12628,OL2325310A
Q12795,OL6884507A
Q12801,OL617124A
Q12807,OL20735A
Q12833,OL440078A
Q12854,OL7628557A
Q12862,OL430561A
Q13005,OL783268A
Q13019,OL2339092A
Q13017,OL5603385A
Q13513,OL7203257A
Q18456,OL1173641A
Q19061,OL1423358A
Q20719,OL280399A
Q20887,OL1588743A
Q22665,OL883203A
Q22761,OL733839A
Q23114,OL2889685A
Q23945,OL8843623A
Q24348,OL4658295A
Q25190,OL7195286A
Q25856,OL4756984A
Q27610,OL6948643A
Q67221,OL1674208A
Q67259,OL296380A
Q67283,OL188295A
Q67420,OL2592527A
Q67436,OL81200A
Q67441,OL4670918A
Q67518,OL240502A
Q67522,OL922403A
Q67526,OL144831A
Q67583,OL2278689A
Q67633,OL1903918A
Q67711,OL1938155A
Q67802,OL89163A
Q67815,OL6782606A
Q67881,OL358526A
Q67943,OL154733A
Q67953,OL2375237A
Q68130,OL322060A
Q68133,OL1161430A
Q68309,OL1881496A
Q68402,OL4674507A
Q68616,OL7219445A
Q68786,OL114992A
Q68815,OL117566A
Q69447,OL1811970A
Q69833,OL1084779A
Q70155,OL421318A
Q70310,OL641813A
Q70318,OL1791688A
Q70344,OL4797948A
Q70350,OL1173728A
Q70435,OL4486236A
Q70516,OL2315835A
Q70842,OL154315A
Q70929,OL743107A
Q70977,OL1083283A
Q70989,OL79944A
Q71192,OL4461671A
Q71211,OL5405677A
Q71285,OL4097295A
Q71309,OL1631222A
Q71336,OL5472739A
Q71337,OL2312373A
Q71429,OL494286A
Q71456,OL53461A
Q71467,OL5751447A
Q71546,OL1649456A
Q71548,OL117985A
Q71602,OL4487283A
Q71625,OL4490337A
Q71638,OL677288A
Q71712,OL738062A
Q71754,OL6647710A
Q72070,OL5380169A
Q72153,OL1890856A
Q72270,OL344871A
Q72274,OL4731285A
Q72283,OL160299A
Q72390,OL139584A
Q72457,OL5647682A
Q72522,OL4481566A
Q72541,OL341406A
Q72645,OL141526A
Q72682,OL2162341A
Q72693,OL886998A
Q72790,OL73211A
Q72908,OL900288A
Q72938,OL4281903A
Q73096,OL2602395A
Q73102,OL344897A
Q73656,OL2503279A
Q73862,OL5269178A
Q73887,OL5098754A
Q73956,OL5291855A
Q73964,OL130299A
Q1398440,OL5506094A
Q1405611,OL145437A
Q1429421,OL195377A
Q1437441,OL9195938A
Q1442310,OL160433A
Q1445752,OL1210537A
Q1447231,OL1730559A
Q1447416,OL6887203A
Q1451213,OL1727429A
Q1457048,OL2278452A
Q1466422,OL2488678A
Q1512327,OL1698660A
Q1539425,OL2284348A
Q1575689,OL751660A
Q1597227,OL4758842A
Q1607956,OL144590A
Q1611198,OL362840A
Q77851,OL129592A
Q77856,OL149206A
Q77864,OL1100011A
Q77876,OL79784A
Q77888,OL78044A
Q77930,OL76619A
Q78012,OL6188396A
Q78038,OL5919624A
Q78074,OL322196A
Q78080,OL153924A
Q78213,OL990513A
Q78237,OL2342930A
Q78491,OL26439A
Q78506,OL27744A
Q78511,OL561457A
Q78813,OL2151566A
Q78886,OL971859A
Q78891,OL169909A
Q78903,OL165167A
Q78955,OL5027354A
Q78966,OL5110135A
Q78992,OL17612A
Q79025,OL75235A
Q79038,OL732104A
Q79041,OL4756661A
Q79045,OL973340A
Q79069,OL4471176A
Q79088,OL165010A
Q79179,OL2330528A
Q80321,OL62102A
Q80440,OL44946A
Q80889,OL23696A
Q80900,OL4328696A
Q81219,OL4288459A
Q83038,OL74186A
Q83174,OL46998A
Q83321,OL117267A
Q84393,OL4421567A
Q84423,OL22736A
Q84444,OL4867492A
Q84463,OL1060457A
Q85153,OL7468668A
Q85354,OL4481550A
Q85517,OL145646A
Q85663,OL2252961A
Q85726,OL2037101A
Q85868,OL2502633A
Q85966,OL1912131A
Q85967,OL4272442A
Q86232,OL61587A
Q86237,OL79930A
Q86432,OL4614550A
Q86443,OL2384437A
Q86553,OL1061016A
Q86723,OL1830743A
Q86726,OL368695A
Q86820,OL916389A
Q86947,OL151312A
Q86998,OL2445846A
Q87011,OL7104613A
Q87331,OL390696A
Q87513,OL853486A
Q87741,OL2071703A
Q87903,OL772578A
Q88058,OL88452A
Q28858,OL979594A
Q29284,OL601592A
Q29473,OL1208907A
Q29721,OL136862A
Q30875,OL20646A
Q31200,OL2384041A
Q31215,OL289219A
Q31984,OL33085A
Q33977,OL113611A
Q34190,OL3894951A
Q34474,OL222507A
Q34628,OL2745523A
Q34670,OL124171A
Q34782,OL829920A
Q34970,OL1188596A
Q35610,OL2623297A
Q35733,OL340551A
Q36233,OL199115A
Q36591,OL48139A
Q36661,OL13192A
Q36771,OL507792A
Q37060,OL3112635A
Q37327,OL29858A
Q37767,OL116256A
Q38337,OL5989984A
Q38392,OL21831A
Q38573,OL139177A
Q38757,OL673748A
Q39803,OL74490A
Q40213,OL21207A
Q40826,OL41785A
Q40874,OL4356353A
Q40939,OL74434A
Q41042,OL39212A
Q41130,OL182529A
Q41223,OL41878A
Q41408,OL4280920A
Q41488,OL67096A
Q41590,OL1794738A
Q42831,OL10240A
Q43166,OL120307A
Q43353,OL24462A
Q43523,OL140903A
Q43718,OL2627043A
Q44003,OL169398A
Q44107,OL4331550A
Q44331,OL18374A
Q44328,OL136812A
Q44336,OL4326320A
Q44426,OL772964A
Q44584,OL88731A
Q44652,OL125045A
Q44695,OL126173A
Q44775,OL192953A
Q44851,OL195150A
Q44862,OL2882404A
Q44922,OL657025A
Q45025,OL449679A
Q45070,OL268021A
Q45124,OL864207A
Q45239,OL341139A
Q45255,OL256911A
Q45267,OL352372A
Q45272,OL289716A
Q45287,OL2441794A
Q45309,OL124021A
Q45336,OL597801A
Q45337,OL165380A
Q46405,OL112761A
Q46599,OL4280300A
Q46602,OL46216A
Q46706,OL52830A
Q47130,OL817066A
Q47152,OL25342A
Q47162,OL15698A
Q47160,OL30123A
Q47243,OL35503A
Q47293,OL122169A
Q47484,OL48458A
Q47619,OL20580A
Q48305,OL21589A
Q48900,OL441262A
Q49080,OL47639A
Q49465,OL506885A
Q49478,OL482364A
Q49496,OL31079A
Q49746,OL126189A
Q49747,OL4334838A
Q50659,OL6448406A
Q51107,OL6070502A
Q51510,OL366913A
Q51513,OL61461A
Q74137,OL2435177A
Q74235,OL86285A
Q74252,OL345528A
Q74395,OL2421705A
Q74567,OL1819245A
Q74606,OL325688A
Q74764,OL7116439A
Q74819,OL165301A
Q74822,OL135652A
Q74849,OL6285612A
Q75066,OL89949A
Q75221,OL6378925A
Q75294,OL604389A
Q75338,OL141886A
Q75555,OL5585812A
Q75612,OL137147A
Q75733,OL5280105A
Q75744,OL137633A
Q75805,OL252705A
Q75835,OL967824A
Q75889,OL53779A
Q75929,OL2444154A
Q75945,OL2267356A
Q76112,OL134732A
Q76141,OL4771713A
Q76162,OL102284A
Q76279,OL261657A
Q76332,OL129986A
Q76336,OL788251A
Q76363,OL1054357A
Q76417,OL904626A
Q76442,OL1221848A
Q76458,OL1120333A
Q76483,OL673325A
Q76487,OL43047A
Q76578,OL996118A
Q76576,OL221742A
Q76591,OL5262438A
Q76632,OL74469A
Q76636,OL71019A
Q76678,OL180816A
Q76682,OL126217A
Q76710,OL218882A
Q76725,OL151683A
Q76732,OL2252897A
Q76749,OL51184A
Q76881,OL729226A
Q76911,OL1866561A
Q76997,OL131363A
Q77000,OL127164A
Q77024,OL119737A
Q77087,OL133924A
Q77194,OL871505A
Q77199,OL2383981A
Q77204,OL53931A
Q77219,OL583088A
Q77271,OL1004923A
Q77275,OL1840053A
Q77310,OL4277431A
Q77325,OL303028A
Q77328,OL134455A
Q77333,OL165034A
Q77359,OL139961A
Q77400,OL4591864A
Q77438,OL455676A
Q77451,OL4327866A
Q77453,OL4864375A
Q77466,OL114798A
Q77492,OL5659946A
Q77497,OL197755A
Q77549,OL935951A
Q77616,OL357738A
Q77628,OL2056615A
Q77645,OL1564801A
Q77715,OL806627A
Q77744,OL129157A
Q77753,OL1933810A
Q77818,OL6386738A
Q77824,OL1508237A
Q20653,OL1843511A
Q20668,OL4736529A
Q20682,OL601161A
Q20681,OL990734A
Q20733,OL2345904A
Q20951,OL607101A
Q21119,OL122951A
Q22539,OL2351571A
Q22611,OL6575035A
Q22686,OL398175A
Q22714,OL21836A
Q22750,OL369821A
Q23368,OL227817A
Q23517,OL1391602A
Q23685,OL57418A
Q23728,OL2631309A
Q23811,OL2944114A
Q23844,OL3014333A
Q23870,OL125136A
Q24085,OL1385161A
Q24139,OL2035189A
Q24184,OL2927921A
Q24218,OL7598341A
Q24225,OL7028056A
Q24261,OL1008590A
Q24302,OL388700A
Q24311,OL2167031A
Q24334,OL265231A
Q24494,OL605379A
Q24548,OL1498752A
Q24632,OL7087899A
Q24700,OL1044591A
Q24766,OL115413A
Q24962,OL1820519A
Q25014,OL912170A
Q25023,OL6752488A
Q25054,OL914312A
Q25070,OL610186A
Q25163,OL5388045A
Q25161,OL34184A
Q25238,OL16895A
Q25251,OL559848A
Q25248,OL306597A
Q25249,OL6371096A
Q25252,OL16898A
Q25259,OL206502A
Q25256,OL210095A
Q25260,OL16736A
Q25310,OL242234A
Q25351,OL120597A
Q180962,OL218440A
Q181667,OL19725A
Q181677,OL234664A
Q181715,OL55528A
Q182046,OL146530A
Q182229,OL1097258A
Q183074,OL117489A
Q183167,OL18524A
Q183382,OL250229A
Q184622,OL129758A
Q184906,OL4650397A
Q185085,OL33442A
Q185735,OL3033361A
Q186273,OL832531A
Q186872,OL4563345A
Q187166,OL66569A
Q188093,OL26459A
Q188117,OL6627289A
Q188385,OL21095A
Q188838,OL182043A
Q189869,OL68704A
Q190058,OL116543A
Q190220,OL26545A
Q190379,OL222146A
Q191023,OL139074A
Q191305,OL126749A
Q192279,OL2660555A
Q193048,OL9115365A
Q193058,OL2756848A
Q193111,OL2688714A
Q193236,OL42037A
Q193346,OL45364A
Q193357,OL34047A
Q193680,OL18541A
Q193857,OL112771A
Q198621,OL563300A
Q198644,OL164359A
Q199228,OL2532148A
Q201279,OL5462977A
Q201433,OL6944852A
Q201732,OL1097266A
Q202385,OL22347A
Q202489,OL289798A
Q202749,OL39281A
Q202878,OL392444A
Q203715,OL3792450A
Q203860,OL922835A
Q204868,OL30241A
Q204889,OL1981794A
Q204908,OL1981389A
Q205591,OL1512888A
Q206042,OL5783414A
Q206384,OL118521A
Q206972,OL347674A
Q207036,OL29881A
Q207356,OL151016A
Q207515,OL136197A
Q207544,OL9348793A
Q207660,OL364307A
Q208101,OL33512A
Q208116,OL6721249A
Q209004,OL5986645A
Q210740,OL22358A
Q210741,OL22555A
Q211514,OL151894A
Q211785,OL56636A
Q212575,OL170638A
Q212632,OL22304A
Q212667,OL2138081A
Q213355,OL113177A
Q213447,OL26405A
Q213547,OL5730374A
Q213549,OL200344A
Q213582,OL131101A
Q213614,OL316763A
Q213750,OL118345A
Q213877,OL2315442A
Q214573,OL1112639A
Q214622,OL29174A
Q214623,OL1281839A
Q214677,OL38817A
Q215115,OL1112920A
Q215120,OL709416A
Q215158,OL1160731A
Q215606,OL263001A
Q215925,OL1286582A
Q216005,OL139483A
Q216134,OL19024A
Q216478,OL298044A
Q216582,OL54405A
Q216692,OL671710A
Q216904,OL337852A
Q88223,OL1993767A
Q88254,OL4809601A
Q88383,OL5371148A
Q88385,OL1251492A
Q88511,OL7483270A
Q88749,OL1631223A
Q88845,OL370599A
Q88899,OL2245206A
Q88914,OL2048258A
Q89058,OL257329A
Q89226,OL1733216A
Q89340,OL4701619A
Q89341,OL6391452A
Q89546,OL1886881A
Q89900,OL144030A
Q90024,OL6716224A
Q90253,OL2434886A
Q90335,OL2315699A
Q90346,OL499502A
Q90356,OL642328A
Q90377,OL1677992A
Q90550,OL5697214A
Q90549,OL7030928A
Q90626,OL1038061A
Q90676,OL1358272A
Q90681,OL492042A
Q90787,OL5293634A
Q90900,OL5390366A
Q90992,OL47061A
Q91013,OL2311072A
Q91072,OL5363253A
Q91151,OL2253637A
Q91544,OL1865873A
Q91989,OL7197722A
Q92011,OL4902499A
Q92083,OL7127460A
Q92410,OL2518959A
Q92458,OL5292992A
Q92525,OL5454996A
Q93166,OL4326321A
Q93343,OL20743A
Q93356,OL217115A
Q93450,OL426279A
Q93503,OL2330919A
Q93692,OL5572166A
Q93872,OL487710A
Q93908,OL66759A
Q93955,OL71099A
Q93959,OL67798A
Q94071,OL2422686A
Q94300,OL3814713A
Q94382,OL4472942A
Q94500,OL181797A
Q94608,OL297618A
Q34851,OL955609A
Q34933,OL32997A
Q34943,OL45265A
Q34969,OL26170A
Q34981,OL34221A
Q35064,OL27695A
Q35155,OL4423376A
Q35171,OL535394A
Q35236,OL1996074A
Q35448,OL188777A
Q35648,OL4363156A
Q35678,OL1967788A
Q35900,OL92800A
Q36020,OL717444A
Q36184,OL31727A
Q36268,OL414088A
Q36322,OL21594A
Q36330,OL86293A
Q36620,OL126723A
Q36740,OL106595A
Q37030,OL22973A
Q37082,OL2489838A
Q37084,OL972969A
Q37097,OL642535A
Q37103,OL35278A
Q37151,OL30553A
Q37160,OL29349A
Q37278,OL5568159A
Q37388,OL23720A
Q37577,OL82844A
Q38082,OL22098A
Q38203,OL34517A
Q38222,OL4766616A
Q38251,OL54103A
Q38415,OL894496A
Q38842,OL3065219A
Q38873,OL352213A
Q9438,OL38887A
Q29418,OL6788836A
Q31439,OL135116A
Q32829,OL114537A
Q33083,OL5190990A
Q36878,OL48034A
Q36951,OL5255907A
Q37217,OL4335496A
Q37370,OL6929772A
Q37621,OL50870A
Q38049,OL3325335A
Q38193,OL119580A
Q38294,OL2056262A
Q40479,OL2628433A
Q41568,OL6899172A
Q42037,OL198800A
Q42063,OL49305A
Q42122,OL262920A
Q42552,OL183089A
Q42747,OL2633288A
Q43293,OL33242A
Q43499,OL53336A
Q43977,OL160138A
Q44248,OL4644931A
Q44519,OL49700A
Q44647,OL371400A
Q44839,OL296508A
Q44847,OL26574A
Q44940,OL5143333A
Q45121,OL565240A
Q45250,OL4333893A
Q45970,OL44091A
Q46561,OL314985A
Q46739,OL60534A
Q47007,OL6771017A
Q47156,OL1229248A
Q47208,OL1053721A
Q47755,OL2827682A
Q48589,OL71922A
Q49767,OL2504469A
Q51583,OL2256227A
Q51880,OL65651A
Q51957,OL2327210A
Q52570,OL2329031A
Q53637,OL6978049A
Q55744,OL991A
Q33055,OL126004A
Q33391,OL38191A
Q33476,OL73619A
Q33528,OL6028629A
Q33566,OL3552131A
Q33637,OL91430A
Q33758,OL2312400A
Q33760,OL112912A
Q33772,OL1824A
Q33866,OL24502A
Q34189,OL89930A
Q34296,OL215627A
Q34597,OL160461A
Q34660,OL23919A
Q34743,OL24461A
Q34787,OL1368A
Q34816,OL6242303A
Q34836,OL231200A
Q528807,OL540370A
Q555907,OL1867644A
Q563347,OL2201946A
Q573997,OL5042987A
Q589105,OL2307619A
Q634100,OL801599A
Q640251,OL191267A
Q643904,OL296439A
Q656183,OL124885A
Q680327,OL2006353A
Q694654,OL4473580A
Q698096,OL1148376A
Q698172,OL5044648A
Q699619,OL4829755A
Q704516,OL227385A
Q706516,OL4371334A
Q709610,OL2370764A
Q709685,OL64426A
Q710504,OL200740A
Q711316,OL6634036A
Q712124,OL2403291A
Q714682,OL4280473A
Q716838,OL560990A
Q719507,OL790123A
Q722453,OL83493A
Q733417,OL50068A
Q740181,OL631060A
Q767884,OL2505359A
Q775364,OL6069240A
Q789867,OL6379145A
Q792834,OL5277331A
Q853226,OL491582A
Q862412,OL4864492A
Q555324,OL55462A
Q563017,OL284087A
Q610036,OL5613819A
Q614867,OL2144842A
Q642814,OL1029962A
Q669049,OL3882047A
Q685919,OL5715954A
Q696386,OL476968A
Q708679,OL5982768A
Q712359,OL1125525A
Q723585,OL4280469A
Q723648,OL998530A
Q724357,OL1741687A
Q724586,OL3099980A
Q725828,OL446542A
Q726071,OL220720A
Q147810,OL4818608A
Q149415,OL66020A
Q149489,OL7532009A
Q150679,OL18216A
Q151164,OL50741A
Q152301,OL1592643A
Q152352,OL6488113A
Q152690,OL21305A
Q152843,OL382413A
Q153248,OL45468A
Q154014,OL63681A
Q154120,OL159246A
Q154145,OL129790A
Q154260,OL28175A
Q154367,OL152983A
Q154438,OL152885A
Q154691,OL4333664A
Q154717,OL6822258A
Q154784,OL437673A
Q154959,OL131527A
Q155087,OL30224A
Q155463,OL351414A
Q155855,OL4280557A
Q156321,OL64306A
Q156890,OL69560A
Q157204,OL2800410A
Q158379,OL5269153A
Q159952,OL562853A
Q159963,OL5450895A
Q160333,OL113923A
Q161048,OL5551340A
Q161363,OL4834245A
Q161368,OL4533652A
Q162511,OL399149A
Q163118,OL20371A
Q163662,OL1392586A
Q163747,OL888706A
Q163953,OL333633A
Q163964,OL6837324A
Q164765,OL62185A
Q164902,OL4679274A
Q164957,OL368459A
Q164964,OL80621A
Q165257,OL80534A
Q165274,OL129281A
Q165534,OL50923A
Q166234,OL151772A
Q166835,OL27096A
Q166952,OL5039666A
Q167429,OL169516A
Q167821,OL2657944A
Q168356,OL909371A
Q168431,OL124945A
Q168728,OL114093A
Q168962,OL33406A
Q169036,OL935698A
Q169104,OL5249631A
Q169150,OL3745151A
Q169352,OL912956A
Q170248,OL403841A
Q170509,OL21001A
Q170800,OL4280652A
Q171976,OL202157A
Q172048,OL160695A
Q172684,OL44231A
Q173832,OL170013A
Q174181,OL121432A
Q174606,OL4691817A
Q175285,OL270485A
Q175485,OL317968A
Q176985,OL6433458A
Q177063,OL552376A
Q177411,OL21051A
Q177565,OL2390688A
Q178100,OL59577A
Q178403,OL68775A
Q178698,OL118066A
Q179025,OL135256A
Q179059,OL795451A
Q179680,OL136546A
Q180251,OL582596A
Q180252,OL7748882A
Q9441,OL4967346A
Q9575,OL4921884A
Q9696,OL2629761A
Q9711,OL29097A
Q9916,OL17243A
Q10088,OL4476535A
Q10133,OL68512A
Q10390,OL20126A
Q10731,OL1478302A
Q10993,OL2711011A
Q11509,OL486860A
Q11578,OL6585331A
Q11730,OL1113495A
Q11806,OL30776A
Q11815,OL360187A
Q11812,OL47870A
Q11813,OL240767A
Q11816,OL162855A
Q11820,OL696693A
Q11941,OL637861A
Q11960,OL117735A
Q11970,OL1275132A
Q11998,OL3046835A
Q12054,OL44388A
Q12086,OL5353122A
Q12091,OL1051332A
Q12658,OL115824A
Q12665,OL470306A
Q12688,OL468223A
Q12696,OL117159A
Q12712,OL1245475A
Q12718,OL62364A
Q12735,OL114133A
Q12747,OL666639A
Q12773,OL4524455A
Q12857,OL2874450A
Q12881,OL66700A
Q12898,OL345384A
Q12908,OL239977A
Q13000,OL151437A
Q13012,OL4642494A
Q13020,OL1415354A
Q13021,OL2214A
Q13133,OL7119254A
Q13245,OL2084016A
Q13484,OL7048870A
Q13515,OL244982A
Q13526,OL163232A
Q13575,OL967075A
Q13888,OL613514A
Q13914,OL422052A
Q13982,OL144136A
Q14049,OL1147764A
Q14077,OL251996A
Q67921,OL331002A
Q68501,OL130927A
Q82066,OL108259A
Q87821,OL1217929A
Q91161,OL1987206A
Q2808,OL481036A
Q4030,OL1953949A
Q15873,OL537736A
Q26876,OL3765728A
Q44301,OL60701A
Q45546,OL26159A
Q45909,OL2822746A
Q51101,OL6579261A
Q53039,OL751919A
Q55382,OL1788465A
Q55400,OL724022A
Q57966,OL438947A
Q60351,OL79750A
Q60684,OL152413A
Q60869,OL4281043A
Q61058,OL151961A
Q61059,OL233692A
Q61594,OL339727A
Q64783,OL2302540A
Q25593,OL2838372A
Q25649,OL1005135A
Q25854,OL4496459A
Q25973,OL76437A
Q26116,OL3831144A
Q26168,OL2688052A
Q26204,OL4586023A
Q26681,OL563827A
Q26702,OL1473994A
Q26825,OL90792A
Q26993,OL92518A
Q27167,OL1433905A
Q27645,OL130631A
Q27764,OL1141302A
Q28117,OL152929A
Q28170,OL1482402A
Q28265,OL7177092A
Q28614,OL461536A
Q28779,OL5216250A
Q28910,OL5898117A
Q28930,OL975130A
Q29344,OL33665A
Q29748,OL1500403A
Q29752,OL6732094A
Q30942,OL2987199A
Q31047,OL7221632A
Q31222,OL4779158A
Q31220,OL150264A
Q31258,OL298594A
Q31267,OL6646593A
Q31523,OL4683789A
Q31621,OL2514919A
Q31628,OL4288047A
Q31737,OL7075521A
Q31845,OL4758403A
Q32355,OL4519075A
Q32678,OL954818A
Q32732,OL7172738A
Q32833,OL113330A
Q32862,OL135427A
Q98376,OL2508366A
Q98460,OL2332653A
Q98929,OL129343A
Q99301,OL242178A
Q99760,OL1721303A
Q99798,OL1778001A
Q101738,OL2338559A
Q101871,OL635457A
Q101878,OL117199A
Q101933,OL1177842A
Q102036,OL150549A
Q102148,OL916851A
Q102892,OL2310503A
Q103911,OL6646222A
Q103936,OL2350643A
Q104790,OL1716622A
Q105099,OL1062058A
Q105118,OL225246A
Q105756,OL27078A
Q105994,OL3121190A
Q106217,OL5249413A
Q106740,OL197515A
Q107883,OL89152A
Q108941,OL575487A
Q109067,OL199477A
Q109405,OL1892379A
Q109712,OL7218426A
Q110163,OL6886379A
Q110838,OL4267517A
